ID,category,xsection,kfactor,efficiency,name,group,subgroup
361526,Background,1893.3,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np1,MadGraphW+jets,munu
361527,Background,642.7,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np2,MadGraphW+jets,munu
361528,Background,179.19,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np3,MadGraphW+jets,munu
361530,Background,13920.0,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wtaunu_Np0,MadGraphW+jets,taunu
361531,Background,1891.9,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wtaunu_Np1,MadGraphW+jets,taunu
361532,Background,641.87,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wtaunu_Np2,MadGraphW+jets,taunu
361533,Background,179.21,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wtaunu_Np3,MadGraphW+jets,taunu
361534,Background,71.05,1.2019,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_Wtaunu_Np4,MadGraphW+jets,taunu
361600,Background,10.631,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WWlvlv,PowhegDiboson,WW
361601,Background,4.4625,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WZlvll_mll4,PowhegDiboson,WZ
361604,Background,0.92498,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZvvll_mll4,PowhegDiboson,ZZ
361610,Background,2.2739,1.0,1.0,PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZqqll_mqq20mll20,PowhegDiboson,ZZ
410062,Background,32.384,1.054,1.0,PowhegPythiaEvtGen_P2012_Wt_DS_inclusive_top,tops,tW_DS
410063,Background,32.357,1.054,1.0,PowhegPythiaEvtGen_P2012_Wt_DS_inclusive_antitop,tops,tW_DS
410069,Background,0.018103,1.2,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_ttZllonshell_Np0,tops,ttZllonshell
410070,Background,0.030629,1.2,1.0,MadGraphPythia8EvtGen_A14NNPDF23LO_ttZllonshell_Np1,tops,ttZllonshell
410160,Background,679.12,0.4559,2.6865,aMcAtNloPythia8EvtGen_A14_NNPDF23_NNPDF30ME_ttbar_allhad,tops,aMcAtNloPythia8EvtGen_ttbar_allhad
407100,Background,2015.8,0.76987,1.0,Sherpa_CT10_Zee_LO_Pt0_70_CVetoBVeto,Z+jetsCVetoBVeto,ee
407101,Background,2015.5,0.14309,1.0,Sherpa_CT10_Zee_LO_Pt0_70_CFilterBVeto,Z+jetsCFilterBVeto,ee
407102,Background,2015.2,0.086403,1.0,Sherpa_CT10_Zee_LO_Pt0_70_BFilter,Z+jetsBFilter,ee
407103,Background,67.273,0.63535,1.0,Sherpa_CT10_Zee_LO_Pt70_140_CVetoBVeto,Z+jetsCVetoBVeto,ee
