ID,category,xsection,kfactor,efficiency,name,group,subgroup
178374,Background,66.405,1.0,0.46793,AlpgenPythia_P2011C_ZmumuNp0Excl_Mll40to60_2LeptonFilter5,DYZ+jets,mumu
178375,Background,9.3122,1.0,0.58296,AlpgenPythia_P2011C_ZmumuNp1Excl_Mll40to60_2LeptonFilter5,DYZ+jets,mumu
178376,Background,3.2217,1.0,0.59344,AlpgenPythia_P2011C_ZmumuNp2Excl_Mll40to60_2LeptonFilter5,DYZ+jets,mumu
178377,Background,0.78029,1.0,0.62303,AlpgenPythia_P2011C_ZmumuNp3Excl_Mll40to60_2LeptonFilter5,DYZ+jets,mumu
178378,Background,0.25067,1.0,0.64492,AlpgenPythia_P2011C_ZmumuNp4Incl_Mll40to60_2LeptonFilter5,DYZ+jets,mumu
178379,Background,66.407,1.0,0.18580,AlpgenPythia_P2011C_ZtautauNp0Excl_Mll40to60_2LeptonFilter5,DYZ+jets,tautau
178380,Background,9.3100,1.0,0.23694,AlpgenPythia_P2011C_ZtautauNp1Excl_Mll40to60_2LeptonFilter5,DYZ+jets,tautau
178381,Background,3.2270,1.0,0.25995,AlpgenPythia_P2011C_ZtautauNp2Excl_Mll40to60_2LeptonFilter5,DYZ+jets,tautau
178382,Background,0.78144,1.0,0.29547,AlpgenPythia_P2011C_ZtautauNp3Excl_Mll40to60_2LeptonFilter5,DYZ+jets,tautau
178383,Background,0.24895,1.0,0.32873,AlpgenPythia_P2011C_ZtautauNp4Incl_Mll40to60_2LeptonFilter5,DYZ+jets,tautau
200332,Background,6.5083,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeebbNp0,Z+bb,ee
200333,Background,3.2927,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeebbNp1,Z+bb,ee
200334,Background,1.2544,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeebbNp2,Z+bb,ee
200335,Background,0.61711,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeebbNp3incl,Z+bb,ee
200340,Background,6.5056,1.18,1.0,AlpgenPythia_Auto_P2011C_ZmumubbNp0,Z+bb,mumu
200341,Background,3.2904,1.18,1.0,AlpgenPythia_Auto_P2011C_ZmumubbNp1,Z+bb,mumu
200342,Background,1.2601,1.18,1.0,AlpgenPythia_Auto_P2011C_ZmumubbNp2,Z+bb,mumu
200343,Background,0.61882,1.18,1.0,AlpgenPythia_Auto_P2011C_ZmumubbNp3incl,Z+bb,mumu
200348,Background,6.5062,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautaubbNp0,Z+bb,tautau
200349,Background,3.2935,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautaubbNp1,Z+bb,tautau
200350,Background,1.2485,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautaubbNp2,Z+bb,tautau
200351,Background,0.61363,1.18,1.0,AlpgenPythia_Auto_P2011C_ZtautaubbNp3incl,Z+bb,tautau
178396,Background,14.802,1.18,0.36484,AlpgenPythia_P2011C_ZeebbNp0_Mll10to60_2LeptonFilter5,DYZ+bb,ee
178397,Background,3.3668,1.18,0.43764,AlpgenPythia_P2011C_ZeebbNp1_Mll10to60_2LeptonFilter5,DYZ+bb,ee
178398,Background,1.0777,1.18,0.43821,AlpgenPythia_P2011C_ZeebbNp2_Mll10to60_2LeptonFilter5,DYZ+bb,ee
178399,Background,0.44054,1.18,0.48267,AlpgenPythia_P2011C_ZeebbNp3_Mll10to60_2LeptonFilter5,DYZ+bb,ee
178400,Background,14.801,1.18,0.37522,AlpgenPythia_P2011C_ZmumubbNp0_Mll10to60_2LeptonFilter5,DYZ+bb,mumu
178401,Background,3.3305,1.18,0.45244,AlpgenPythia_P2011C_ZmumubbNp1_Mll10to60_2LeptonFilter5,DYZ+bb,mumu
178402,Background,1.0801,1.18,0.44419,AlpgenPythia_P2011C_ZmumubbNp2_Mll10to60_2LeptonFilter5,DYZ+bb,mumu
178403,Background,0.43045,1.18,0.48512,AlpgenPythia_P2011C_ZmumubbNp3_Mll10to60_2LeptonFilter5,DYZ+bb,mumu
178404,Background,14.802,1.18,0.39054,AlpgenPythia_P2011C_ZtautaubbNp0_Mll10to60_2LeptonFilter5,DYZ+bb,tautau
178405,Background,3.3625,1.18,0.10714,AlpgenPythia_P2011C_ZtautaubbNp1_Mll10to60_2LeptonFilter5,DYZ+bb,tautau
178406,Background,1.0770,1.18,0.14347,AlpgenPythia_P2011C_ZtautaubbNp2_Mll10to60_2LeptonFilter5,DYZ+bb,tautau
178407,Background,0.41975,1.18,0.19489,AlpgenPythia_P2011C_ZtautaubbNp3_Mll10to60_2LeptonFilter5,DYZ+bb,tautau
200432,Background,11.763,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeeccNp0,Z+cc,ee
200433,Background,7.1280,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeeccNp1,Z+cc,ee
200434,Background,3.3603,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeeccNp2,Z+cc,ee
200435,Background,1.7106,1.18,1.0,AlpgenPythia_Auto_P2011C_ZeeccNp3incl,Z+cc,ee
